id;amount_answer_tokens;confidence_per_choice
('astronomy', 110);2;[2.172439935079017e-10, 1.0, 4.363462252943702e-09, 2.646573638909117e-09]
('astronomy', 111);2;[1.2917800047859961e-12, 3.97896253583724e-12, 4.8473687062702556e-11, 1.0]
('astronomy', 112);2;[4.8473687062702556e-11, 5.109089028063325e-12, 8.878265478459658e-13, 1.0]
('astronomy', 113);2;[5.4927883509546835e-11, 2.9400777392844726e-11, 1.0, 5.4927883509546835e-11]
('astronomy', 114);2;[1.0, 2.7894680928689246e-10, 4.139937718785167e-08, 9.736200313009565e-10]
('astronomy', 115);2;[2.413362771833214e-12, 4.1937956583795446e-13, 1.9810087980489796e-13, 1.0]
('astronomy', 116);2;[1.3176514270095466e-10, 3.398267819495071e-09, 1.3887943864964021e-11, 1.0]
('astronomy', 117);2;[6.224144622907783e-11, 5.4927883509546835e-11, 1.0, 2.129785170955785e-12]
('astronomy', 118);2;[0.9999977350285647, 1.5229950695859287e-08, 7.052866398824247e-11, 2.2603250957489616e-06]
('astronomy', 119);2;[0.006689099229702139, 1.1395687297694164e-05, 0.0005490747010652226, 0.9927504175735192]
('astronomy', 120);2;[3.850741922767617e-09, 1.0, 5.3157852544244216e-08, 1.186112015134383e-08]
('astronomy', 121);2;[1.2256067444099483e-11, 1.0, 7.194133030325383e-09, 1.6586783589142312e-12]
('astronomy', 122);2;[7.991959892953932e-11, 2.061153622438558e-09, 0.9999997615814777, 1.8553913626159784e-07]
('astronomy', 123);2;[3.97896253583724e-12, 1.463778514125909e-12, 2.8823507934443873e-13, 1.0]
('astronomy', 124);2;[4.1937956583795446e-13, 2.2447770550209742e-13, 2.9400777392844726e-11, 1.0]
('astronomy', 125);2;[1.3887943864964021e-11, 6.914400106940203e-13, 3.775134544279098e-11, 1.0]
('astronomy', 126);2;[0.0006670519864973066, 7.410281742323078e-06, 0.9392793391385248, 0.06004612056891099]
('astronomy', 127);2;[1.0815941557285693e-11, 6.224144622907783e-11, 1.0, 4.363462252943702e-09]
('astronomy', 128);2;[2.129785170955785e-12, 1.2917800047859961e-12, 1.6586783589142312e-12, 1.0]
('astronomy', 129);2;[2.0611496911037635e-09, 2.845329381943118e-08, 0.999998927117538, 1.0677029917933763e-06]
('astronomy', 130);2;[1.0, 4.363462252943702e-09, 4.139937718785167e-08, 1.0467401794744658e-08]
('astronomy', 131);2;[1.7601734045507457e-06, 0.9999013044465942, 8.314470433340512e-07, 9.61022116260119e-05]
('astronomy', 132);2;[6.224144622907783e-11, 6.224144622907783e-11, 1.0, 1.783247290814639e-11]
('astronomy', 133);2;[4.8473687062702556e-11, 1.0, 7.194133030325383e-09, 2.172439935079017e-10]
('astronomy', 134);2;[0.017986168431608985, 6.359459656162318e-07, 1.7286803622164438e-06, 0.9820114585305271]
('astronomy', 135);2;[1.9555681087850496e-08, 3.2241867372567335e-08, 5.602796437537268e-09, 1.0]
('astronomy', 136);2;[8.436327830342185e-08, 9.251556834126056e-05, 0.03732342631800865, 0.9625839269197454]
('astronomy', 137);2;[1.9810087980489796e-13, 4.1937956583795446e-13, 1.1399918530443554e-12, 1.0]
('astronomy', 138);2;[5.675685232632723e-14, 2.8823507934443873e-13, 7.991959892953932e-11, 1.0]
('astronomy', 139);2;[5.789356328730652e-12, 2.289734845645553e-11, 1.0, 3.398267819495071e-09]
('astronomy', 140);2;[1.0, 5.602796437537268e-09, 2.9989608248573072e-09, 1.186112015134383e-08]
('astronomy', 141);2;[9.545034922840628e-12, 9.056076989672867e-11, 1.0, 7.582560427911907e-10]
('astronomy', 142);2;[7.991959892953932e-11, 7.582560427911907e-10, 0.9999994039539004, 6.47594599989589e-07]
('astronomy', 143);2;[1.0, 4.1937956583795446e-13, 4.5990553786523166e-10, 3.97896253583724e-12]
('astronomy', 144);2;[1.3887943864964021e-11, 1.0, 9.736200313009565e-10, 7.991959892953932e-11]
('astronomy', 145);2;[3.2661313427874473e-13, 6.914400106940203e-13, 3.0988191387218256e-12, 1.0]
('astronomy', 146);2;[0.004070083598142031, 0.9959164211533432, 6.449505327570184e-07, 1.2954177739320652e-05]
('astronomy', 147);2;[0.9999988079084972, 3.9278597995802437e-07, 8.315279260963632e-07, 4.139929822488149e-08]
('astronomy', 148);2;[6.47592129616951e-07, 3.927844816012785e-07, 3.7266354020539563e-06, 0.9999952316511552]
('astronomy', 149);2;[0.9999829533624089, 4.139866652654203e-08, 1.6701414089010932e-05, 3.0589706938554157e-07]
('astronomy', 150);2;[5.109089028063325e-12, 6.224144622907783e-11, 1.0, 2.5946094982764667e-11]
('astronomy', 151);2;[3.331544542166412e-11, 1.0, 3.581747930283181e-10, 9.545034922840628e-12]
('business_ethics', 0);2;[0.6791785143226179, 7.109233976029202e-09, 0.320821194383905, 2.3542549619629817e-07]
('business_ethics', 1);2;[1.522997974471263e-08, 1.0, 4.363462252943702e-09, 7.991959892953932e-11]
('business_ethics', 2);2;[4.5990553786523166e-10, 7.991959892953932e-11, 7.582560427911907e-10, 1.0]
('business_ethics', 3);2;[5.905303998944039e-10, 1.162823303022097e-10, 1.9555681087850496e-08, 1.0]
('business_ethics', 4);2;[1.6052280551856116e-09, 1.0, 5.3157852544244216e-08, 2.510999155743982e-08]
('business_ethics', 5);2;[0.006686315278730239, 0.9923373872212644, 0.000427441835122955, 0.0005488461804535251]
('business_ethics', 6);2;[0.9999870063564401, 1.3007123989067183e-05, 1.3440230503500154e-08, 9.237326329535046e-09]
('business_ethics', 7);2;[1.0, 6.560200168153779e-12, 4.277787868968998e-11, 3.581747930283181e-10]
('business_ethics', 8);2;[0.0031718042619143395, 0.00026035742432639093, 0.9965511707033693, 1.664409328647339e-05]
('business_ethics', 9);2;[4.5394474700120025e-05, 5.828765929214275e-05, 0.9998796131114907, 1.669969398495133e-05]
('business_ethics', 10);2;[0.8807223300038577, 6.592365641228584e-05, 0.11919279532721473, 1.8887443788682924e-05]
('business_ethics', 11);2;[1.783247290814639e-11, 2.382369667501818e-07, 0.9999997615814777, 1.3176514270095466e-10]
('business_ethics', 12);2;[3.059020287707785e-07, 3.9278597995802437e-07, 1.2501528663867426e-09, 0.9999992847447459]
('elementary_mathematics', 35);2;[0.999922043204773, 8.31463695024298e-07, 7.484597660661926e-05, 2.2601526532079627e-06]
('elementary_mathematics', 36);2;[0.9999948740268748, 2.260318628916241e-06, 2.902306569341241e-06, 2.8453185278936072e-08]
('elementary_mathematics', 37);2;[9.237449661970594e-09, 2.9400777392844726e-11, 2.5946094982764667e-11, 1.0]
('elementary_mathematics', 38);2;[2.8452968199188003e-08, 8.315176170715234e-07, 0.9999861719135179, 1.3007123989067183e-05]
('elementary_mathematics', 39);2;[0.6224303172030711, 0.3775230709183224, 4.659003155833513e-05, 2.229389829207096e-10]
('elementary_mathematics', 40);2;[1.2917800047859961e-12, 1.0, 3.581747930283181e-10, 1.006039279283317e-12]
('elementary_mathematics', 41);2;[0.008577460390128166, 2.877417403202099e-06, 2.0843941757408683e-07, 0.9914194302003277]
('elementary_mathematics', 42);2;[1.0, 1.6918979226151304e-10, 1.103256032343554e-09, 1.2501528663867426e-09]
('elementary_mathematics', 43);2;[0.03270670049552877, 0.31031253438047346, 0.6569316012824076, 4.917252367431232e-05]
('elementary_mathematics', 44);2;[1.225602069100169e-11, 5.602775064605783e-09, 4.78509457496562e-06, 0.9999952316511552]
('elementary_mathematics', 45);2;[1.0261820912923629e-10, 0.9999935627400018, 1.8553789765836951e-07, 6.144171336422507e-06]
('elementary_mathematics', 46);2;[1.7231909115392803e-08, 2.0992762872966396e-07, 0.001501181950907551, 0.9984985517859623]
('elementary_mathematics', 47);2;[4.363453930307876e-09, 1.7603429545652396e-06, 0.9999982118638471, 2.3355885840133965e-09]
('elementary_mathematics', 48);2;[1.6918979226151304e-10, 3.2241867372567335e-08, 1.2501528663867426e-09, 1.0]
('elementary_mathematics', 49);2;[7.287724095819692e-14, 1.9810087980489796e-13, 1.1399918530443554e-12, 1.0]
('elementary_mathematics', 50);2;[0.9999966621509202, 1.0677009553134769e-06, 2.260322940135999e-06, 1.6918914685490615e-10]
('elementary_mathematics', 51);2;[1.6561805163824763e-05, 0.005203564499945122, 0.9916238214152118, 0.003156121409008954]
('elementary_mathematics', 52);2;[2.335593038799337e-09, 0.9999998807907247, 1.1253517471925912e-07, 4.058652126475693e-10]
('elementary_mathematics', 53);2;[1.0, 2.9400777392844726e-11, 1.3176514270095466e-10, 1.2256067444099483e-11]
('elementary_mathematics', 54);2;[1.6586783589142312e-12, 1.0, 9.736200313009565e-10, 1.3887943864964021e-11]
('elementary_mathematics', 55);2;[0.03732561543737941, 3.4036555570569534e-05, 0.9626403707123941, 3.706882932451698e-09]
('elementary_mathematics', 56);2;[0.0076989885415879086, 0.254955485179477, 0.6930408417751048, 0.04430462006395924]
('elementary_mathematics', 57);2;[1.0, 1.3887943864964021e-11, 1.026187963170189e-10, 3.97896253583724e-12]
('elementary_mathematics', 58);2;[9.613346328242559e-07, 0.9003754402453032, 0.004724737498505062, 0.09489886685293707]
('elementary_mathematics', 59);2;[1.162823303022097e-10, 0.9999998807907247, 6.82560337633487e-08, 5.4927883509546835e-11]
('elementary_mathematics', 60);2;[1.3176514270095466e-10, 3.97896253583724e-12, 8.423463754468647e-12, 1.0]
('elementary_mathematics', 61);2;[1.006039279283317e-12, 1.0, 1.6918979226151304e-10, 1.463778514125909e-12]
('elementary_mathematics', 62);2;[1.0815941557285693e-11, 4.277787868968998e-11, 1.0, 2.7894680928689246e-10]
('elementary_mathematics', 63);2;[0.99329597501689, 1.0062184548246105e-05, 0.006692774671049743, 1.2017565678445534e-06]
('elementary_mathematics', 64);2;[0.0015008577197680034, 0.00015818923984123545, 5.8194569152128956e-05, 0.9982827638680069]
('elementary_mathematics', 65);2;[2.129785170955785e-12, 9.545034922840628e-12, 1.0, 2.061153622438558e-09]
('elementary_mathematics', 66);2;[3.1602364275240186e-10, 6.82421050630888e-08, 0.00020342704214340812, 0.9997965511486372]
('elementary_mathematics', 67);2;[0.9999990463265931, 8.764248219443636e-08, 8.315279260963632e-07, 3.850741922767617e-09]
('elementary_mathematics', 68);2;[1.783247290814639e-11, 4.363462252943702e-09, 1.0, 1.9555681087850496e-08]
('elementary_mathematics', 69);2;[7.582560427911907e-10, 1.6052280551856116e-09, 1.2501528663867426e-09, 1.0]
('elementary_mathematics', 70);2;[3.872621546911612e-07, 0.9859356852798739, 0.01406361981432138, 3.872621546911612e-07]
('elementary_mathematics', 71);2;[0.999795836184163, 4.539066520404779e-05, 0.00015842898862945647, 3.0583989639810695e-07]
('elementary_mathematics', 72);2;[3.7266069701906588e-06, 0.9999878408000585, 3.7266069701906588e-06, 4.785058067730503e-06]
('elementary_mathematics', 73);2;[1.6052280551856116e-09, 5.905303998944039e-10, 1.0, 1.522997974471263e-08]
('elementary_mathematics', 74);2;[2.0206800548772015e-11, 0.9999982118638471, 1.7603429545652396e-06, 2.789462772385846e-10]
('elementary_mathematics', 75);2;[0.4599584423334742, 0.017834527426054986, 0.06224860235996598, 0.4599584423334742]
('elementary_mathematics', 76);2;[1.0, 7.991959892953932e-11, 7.991959892953932e-11, 1.2256067444099483e-11]
('elementary_mathematics', 77);2;[5.905303998944039e-10, 2.7894680928689246e-10, 1.57371021068629e-11, 1.0]
('elementary_mathematics', 78);2;[1.8552763526398705e-07, 3.726422168366506e-06, 5.8291050224835536e-05, 0.999937776622214]
('elementary_mathematics', 79);2;[1.0, 1.9555681087850496e-08, 1.522997974471263e-08, 5.211412487888539e-10]
('elementary_mathematics', 80);2;[4.0586443852184914e-10, 0.9999982118638471, 3.9278560536830205e-07, 1.370956471489639e-06]
('elementary_mathematics', 81);2;[1.0, 2.7346982915918745e-12, 7.991959892953932e-11, 6.914400106940203e-13]
('elementary_mathematics', 82);2;[2.8823507934443873e-13, 1.006039279283317e-12, 1.2917800047859961e-12, 1.0]
('elementary_mathematics', 83);2;[0.017986211314027313, 3.166194565871376e-08, 0.9820136425247781, 1.1051104904943109e-07]
('elementary_mathematics', 84);2;[1.2256067444099483e-11, 1.0, 5.109089028063325e-12, 5.602796437537268e-09]
('elementary_mathematics', 85);2;[2.0600138495118516e-09, 8.31068109318202e-07, 0.0005527782629881523, 0.9994463411343099]
('elementary_mathematics', 86);2;[3.535618581278775e-05, 0.9999628080845125, 1.7602808402881647e-06, 4.2776328463539724e-11]
('elementary_mathematics', 87);2;[6.224144622907783e-11, 8.764248219443636e-08, 0.9999998807907247, 9.736200313009565e-10]
('elementary_mathematics', 88);2;[0.9385023452420582, 0.05999644990384574, 0.0014109812611014262, 9.020101422495719e-05]
('elementary_mathematics', 89);2;[1.103256032343554e-09, 0.9999990463265931, 8.315279260963632e-07, 8.764248219443636e-08]
('elementary_mathematics', 90);2;[3.331544542166412e-11, 1.57371021068629e-11, 1.0, 2.646573638909117e-09]
('elementary_mathematics', 91);2;[0.9998756801664166, 0.0001233945049762016, 8.314256345080342e-07, 8.763161715800284e-08]
('elementary_mathematics', 92);2;[3.581747930283181e-10, 1.0, 3.1608814543136926e-10, 2.061153622438558e-09]
('elementary_mathematics', 93);2;[0.9999997615814777, 4.139937718785167e-08, 8.764248219443636e-08, 1.4449802461092448e-07]
('elementary_mathematics', 94);2;[2.4616969518153846e-10, 7.194133030325383e-09, 1.0, 1.9555681087850496e-08]
('elementary_mathematics', 95);2;[0.0002447679713217767, 0.05989277641821332, 0.002981885754274776, 0.9368806261108782]
('elementary_mathematics', 96);2;[4.058009652371539e-10, 0.0001584362410990077, 0.9998415959451853, 1.1859242566789641e-08]
('elementary_mathematics', 97);2;[1.0, 3.331544542166412e-11, 3.581747930283181e-10, 1.026187963170189e-10]
('elementary_mathematics', 98);2;[0.9996641810250884, 1.1249740374849649e-07, 0.0003353500342255387, 3.926545209063061e-07]
('elementary_mathematics', 99);2;[2.7894680928689246e-10, 1.9555681087850496e-08, 0.9999996423722521, 3.059023205018258e-07]
('elementary_mathematics', 100);2;[0.9859283854248194, 0.014063512517826584, 7.778308962988288e-06, 3.0159776831025404e-07]
('elementary_mathematics', 101);2;[1.0, 2.335593038799337e-09, 4.139937718785167e-08, 1.522997974471263e-08]
('elementary_mathematics', 102);2;[7.05287985111216e-11, 1.0, 3.2241867372567335e-08, 2.020683909022217e-11]
('elementary_mathematics', 103);2;[2.129785170955785e-12, 1.2256067444099483e-11, 1.0, 7.582560427911907e-10]
('elementary_mathematics', 104);2;[0.00857701458606342, 1.0042646797342007e-05, 4.500802038891324e-05, 0.9913678773377975]
('elementary_mathematics', 105);2;[5.602796437537268e-09, 5.602796437537268e-09, 1.3176514270095466e-10, 1.0]
('elementary_mathematics', 106);2;[1.6918753334916026e-10, 2.061126103252462e-09, 0.9999870063564401, 1.3007123989067183e-05]
('elementary_mathematics', 107);2;[6.224144622907783e-11, 4.277787868968998e-11, 1.0, 9.736200313009565e-10]
('elementary_mathematics', 108);2;[0.016000883621241215, 0.6803748237020071, 0.15181213884923417, 0.15181213884923417]
('elementary_mathematics', 109);2;[1.783247290814639e-11, 1.0, 7.582560427911907e-10, 1.3887943864964021e-11]
('elementary_mathematics', 110);2;[1.3176514270095466e-10, 1.6052280551856116e-09, 1.0, 1.9555681087850496e-08]
('elementary_mathematics', 111);2;[2.4616969518153846e-10, 1.0, 4.139937718785167e-08, 5.211412487888539e-10]
('elementary_mathematics', 112);2;[1.6918979226151304e-10, 1.0, 1.9555681087850496e-08, 3.1608814543136926e-10]
('elementary_mathematics', 113);2;[0.9999954700677164, 1.7603379181908526e-06, 2.260318628916241e-06, 5.043452576565602e-07]
('elementary_mathematics', 114);2;[1.0, 7.05287985111216e-11, 4.363462252943702e-09, 1.6918979226151304e-10]
('elementary_mathematics', 115);2;[3.5114221133765118e-12, 1.3887943864964021e-11, 1.026187963170189e-10, 1.0]
('elementary_mathematics', 116);2;[0.22269974876246426, 1.5505029582253162e-06, 0.7772985228868894, 1.4421924067895048e-07]
('elementary_mathematics', 117);2;[2.061153622438558e-09, 1.0, 5.602796437537268e-09, 5.905303998944039e-10]
('elementary_mathematics', 118);2;[1.6918946955790182e-10, 0.9999984502816872, 1.370956471489639e-06, 1.1253496007565217e-07]
('elementary_mathematics', 119);2;[1.2802981044021589e-08, 0.9525737147414676, 0.0474258519545633, 4.804283192945295e-07]
('elementary_mathematics', 120);2;[1.026187963170189e-10, 1.0, 1.6052280551856116e-09, 2.289734845645553e-11]
('elementary_mathematics', 121);2;[0.0007448169502575939, 0.18225072046765198, 0.8167910254677088, 0.00021339373078561416]
('elementary_mathematics', 122);2;[1.0, 9.237449661970594e-09, 4.139937718785167e-08, 1.103256032343554e-09]
('elementary_mathematics', 123);2;[2.7346982915918745e-12, 1.0, 6.224144622907783e-11, 1.1399918530443554e-12]
('elementary_mathematics', 124);2;[0.05670862635970129, 0.32633561300214614, 0.19793255464191833, 0.41902319648940073]
('elementary_mathematics', 125);2;[2.494781214514001e-07, 4.422105511751585e-06, 0.9241375296952382, 0.07585782785332686]
('elementary_mathematics', 126);2;[0.0011671131309618956, 0.0005513052063312431, 0.0014986029243050825, 0.9967830292585481]
('elementary_mathematics', 127);2;[6.101936677605324e-13, 4.508755242294825e-12, 1.0, 3.775134544279098e-11]
('elementary_mathematics', 128);2;[2.646573638909117e-09, 2.510999155743982e-08, 1.0, 2.646573638909117e-09]
('elementary_mathematics', 129);2;[3.6522490037169975e-08, 2.90133798166901e-06, 0.0003353490747827672, 0.9996616793175533]
('elementary_mathematics', 130);2;[0.5199578676446184, 0.14897043212470842, 0.3153704072828051, 0.015701368028590113]
('elementary_mathematics', 131);2;[1.6918979226151304e-10, 1.3176514270095466e-10, 1.026187963170189e-10, 1.0]
('elementary_mathematics', 132);2;[1.0815941557285693e-11, 1.0, 7.194133030325383e-09, 5.109089028063325e-12]
('elementary_mathematics', 133);2;[1.5295079529604622e-07, 0.49999904537426776, 0.49999904537426776, 1.6443760170486582e-06]
('elementary_mathematics', 134);2;[7.05287985111216e-11, 4.363462252943702e-09, 1.0, 2.172439935079017e-10]
('elementary_mathematics', 135);2;[8.234537591887621e-06, 0.0062064056714445925, 0.5586827343304644, 0.43510255098503936]
('elementary_mathematics', 136);2;[6.824939449558392e-08, 3.927485227540584e-07, 0.9999034498006232, 9.610239492660866e-05]
('elementary_mathematics', 137);2;[5.3157852544244216e-08, 1.026187963170189e-10, 1.026187963170189e-10, 1.0]
('elementary_mathematics', 138);2;[0.01098557953298236, 0.9888901738005602, 0.00012203870680988255, 2.2352168843779135e-06]
('elementary_mathematics', 139);2;[3.9278597995802437e-07, 1.1253517471925912e-07, 0.9999994039539004, 8.764248219443636e-08]
('elementary_mathematics', 140);2;[2.8823507934443873e-13, 3.97896253583724e-12, 3.0988191387218256e-12, 1.0]
('elementary_mathematics', 141);2;[0.05762173887398543, 0.006073288043208831, 0.034949351293027474, 0.9013556631638154]
('elementary_mathematics', 142);2;[4.752193062771153e-13, 3.97896253583724e-12, 1.2917800047859961e-12, 1.0]
('elementary_mathematics', 143);2;[1.0, 9.736200313009565e-10, 4.363462252943702e-09, 7.582560427911907e-10]
('elementary_mathematics', 144);2;[0.9988226463547705, 0.0011695008272135125, 7.880038346645453e-06, 1.2486801275376372e-09]
('elementary_mathematics', 145);2;[1.3046436260288314e-08, 0.029312225847906822, 0.9706875453951163, 1.801004972189458e-07]
('elementary_mathematics', 146);2;[1.9555681087850496e-08, 5.602796437537268e-09, 4.139937718785167e-08, 0.9999998807907247]
('elementary_mathematics', 147);2;[1.4166087866431961e-09, 1.6052280551856116e-09, 1.0, 4.139937718785167e-08]
('elementary_mathematics', 148);2;[1.0466782898522254e-08, 1.444896188080816e-07, 0.9999415908602124, 5.829127258796956e-05]
('elementary_mathematics', 149);2;[1.6918979226151304e-10, 1.0, 1.3176514270095466e-10, 7.433680672352188e-12]
('elementary_mathematics', 150);2;[4.59848523386639e-10, 2.6462455432380366e-09, 0.999876633606226, 0.0001233946226544279]
('elementary_mathematics', 151);2;[1.6051698833784883e-09, 0.9999645960934689, 3.535625324942473e-05, 6.691343595122724e-10]
('elementary_mathematics', 152);2;[0.4998614076576352, 0.4998614076576352, 0.0002764655812514265, 6.852896613003035e-07]
('elementary_mathematics', 153);2;[1.026187963170189e-10, 1.2501528663867426e-09, 0.9999998807907247, 1.1253517471925912e-07]
('elementary_mathematics', 154);2;[4.020748877444702e-11, 2.360121012535271e-08, 0.9399133253553882, 0.060086648833494447]
('elementary_mathematics', 155);2;[7.991944649514694e-11, 1.955564378838448e-08, 1.7603429545652396e-06, 0.9999982118638471]
('elementary_mathematics', 156);2;[6.825564320030807e-08, 4.78509457496562e-06, 0.9999947548186582, 3.059008618493715e-07]
('elementary_mathematics', 157);2;[0.7758045013533631, 0.2222717044392533, 0.001923027039086535, 8.28329552411876e-07]
('elementary_mathematics', 158);2;[1.0, 3.331544542166412e-11, 4.363462252943702e-09, 4.508755242294825e-12]
('elementary_mathematics', 159);2;[3.581747930283181e-10, 1.0, 1.9555681087850496e-08, 6.224144622907783e-11]
('elementary_mathematics', 160);2;[1.0, 1.522997974471263e-08, 5.3157852544244216e-08, 1.9555681087850496e-08]
('elementary_mathematics', 161);2;[1.2015425731771786e-13, 8.878265478459658e-13, 1.8795288165390832e-12, 1.0]
('elementary_mathematics', 162);2;[1.758280925559414e-06, 1.758280925559414e-06, 0.0011695058461773406, 0.9988269278457519]
('elementary_mathematics', 163);2;[0.9227742982468375, 0.01025109831784215, 0.007983563397277427, 0.05899098374730408]
('elementary_mathematics', 164);2;[1.522997974471263e-08, 1.0, 2.510999155743982e-08, 1.783247290814639e-11]
('elementary_mathematics', 165);2;[7.194133030325383e-09, 1.0, 9.736200313009565e-10, 2.510999155743982e-08]
('elementary_mathematics', 166);2;[0.9999808076722754, 1.3007049561919648e-05, 6.14409516289551e-06, 3.3982030032984144e-09]
('elementary_mathematics', 167);2;[3.927189340885438e-07, 1.3005064995078025e-05, 0.0001584341257610942, 0.9998281297460464]
('elementary_mathematics', 168);2;[2.699519290082697e-07, 1.6701334450652484e-05, 0.9999783043793048, 4.785012434078284e-06]
('elementary_mathematics', 169);2;[2.172439935079017e-10, 4.363462252943702e-09, 1.0, 1.6052280551856116e-09]
('elementary_mathematics', 170);2;[1.6918979226151304e-10, 2.5946094982764667e-11, 1.0, 5.109089028063325e-12]
('elementary_mathematics', 171);2;[1.0, 9.056076989672867e-11, 1.2501528663867426e-09, 1.3887943864964021e-11]
('elementary_mathematics', 172);2;[1.0815941557285693e-11, 1.6918979226151304e-10, 1.0, 4.5990553786523166e-10]
('elementary_mathematics', 173);2;[1.0467262040786102e-08, 2.3823378596474615e-07, 0.9999867679437158, 1.3007123989067183e-05]
