id;amount_answer_tokens;confidence_per_choice;finish_reason
('abstract_algebra', 92);725;[0.42973663422091324, 0.40370020775662246, 0.06288435992112978, 0.1036787817963293];stop
('abstract_algebra', 93);2731;[0.9739514728553303, 0.018989028947954987, 0.004237025070220366, 0.0028224671789177937];stop
('abstract_algebra', 94);506;[0.05112128293002775, 0.008745818214401934, 0.005222366584207033, 0.934910513094148];stop
('abstract_algebra', 95);462;[0.19825236522338302, 0.07068904933620457, 0.538905801835748, 0.192152781188045];stop
('abstract_algebra', 96);614;[0.5306832017837643, 0.4005806968167087, 0.030889468358798956, 0.03784656777047418];stop
('abstract_algebra', 97);529;[0.2581494250553187, 0.0508326418003651, 0.6592076700721866, 0.03181025440462641];stop
('abstract_algebra', 98);681;[0.251947858164977, 0.02573809407222624, 0.6848653253901871, 0.037448705903724795];stop
('abstract_algebra', 99);1837;[0.24933741932743225, 0.08483278442327315, 0.5618905482083356, 0.10393930020226057];stop
('abstract_algebra', 0);823;[0.016330880466134803, 0.9792703446887742, 0.0011830050131222084, 0.003215741030146053];stop
('abstract_algebra', 1);2363;[0.08341085343511036, 0.11400911918079551, 0.7434328664021516, 0.059147151853216465];stop
('abstract_algebra', 2);1500;[0.010277415379667431, 0.0015760926948004568, 0.003336588261075682, 0.9848099263691943];stop
('abstract_algebra', 3);648;[0.09981724926146034, 0.6821271017445448, 0.022622975539690074, 0.19543268671815103];stop
('abstract_algebra', 4);2557;[0.13868383300201856, 0.8234037799731759, 0.009737131053146759, 0.028175329640775626];stop
('abstract_algebra', 5);1093;[0.9886291144053403, 0.006872784199968084, 0.0012516269855433301, 0.0032464733802718363];stop
('abstract_algebra', 6);740;[0.9551787411755072, 0.02143496709051693, 0.015439023940582823, 0.007947328435291588];stop
('abstract_algebra', 7);411;[0.19483035417639455, 0.062271521426985915, 0.6591026120671225, 0.08379549116527246];stop
('abstract_algebra', 8);1590;[0.004892860206653279, 0.9925494375988907, 0.0013586982086665038, 0.0011990469606954278];stop
('abstract_algebra', 9);699;[0.420115858193698, 0.0664719853310349, 0.40719025209188303, 0.10622193010817903];stop
('abstract_algebra', 10);629;[0.3575211074237147, 0.019857254416085067, 0.5201901108405489, 0.10243151225566158];stop
('abstract_algebra', 11);487;[0.33378758493244326, 0.06078723506882732, 0.5169802940368544, 0.0884449051435222];stop
('abstract_algebra', 12);1358;[0.982226594312371, 0.01445545584316905, 0.002287185243658318, 0.0010309151576187393];stop
('abstract_algebra', 13);1343;[0.046328448273290475, 0.06137522216801385, 0.8741537933989432, 0.018142481019025585];stop
('abstract_algebra', 14);1261;[0.059668266780989326, 0.023366429005487754, 0.9046519752644454, 0.012313242809346255];stop
('abstract_algebra', 15);452;[0.26772574092859225, 0.6422406846128995, 0.019093311715826587, 0.07094025910430742];stop
('abstract_algebra', 16);229;[0.39613655014849225, 0.050363110644296626, 0.18136452847509385, 0.37213584986735915];stop
('abstract_algebra', 17);252;[0.47793782227014514, 0.034621701786342746, 0.3962243713416793, 0.09121603506463442];stop
('abstract_algebra', 18);521;[0.16202238166473334, 0.06754098530539526, 0.02125271396728521, 0.7491839248473259];stop
('abstract_algebra', 19);428;[0.9724684321815446, 0.021484626985723117, 0.0009439684047357519, 0.00510304498294846];stop
('abstract_algebra', 20);991;[0.9703208379938101, 0.016181632455815283, 0.006537970524645516, 0.006959633396053442];stop
('abstract_algebra', 21);719;[0.9658274080127695, 0.016617980421306976, 0.013352922397643003, 0.004201683452814446];stop
('abstract_algebra', 22);436;[0.029983573750880416, 0.007011309243981956, 0.0006345626241022187, 0.9623705749022545];stop
('abstract_algebra', 23);1701;[0.04430575032414436, 0.03849350296063896, 0.02729598093306139, 0.8899047575239066];stop
('abstract_algebra', 24);398;[0.9076049807143456, 0.04244925140814885, 0.016365640400469283, 0.033580121770699356];stop
('abstract_algebra', 25);3020;[0.04220902083550907, 0.02122402855132735, 0.9311161650924215, 0.005450782631584366];stop
('abstract_algebra', 26);760;[0.05248266781650395, 0.022572514154371025, 0.9016558074556033, 0.02328904266945249];stop
('abstract_algebra', 27);985;[0.10209614369555436, 0.7783411272449051, 0.01746659072039214, 0.10209614369555436];stop
('abstract_algebra', 28);568;[0.06035394453325995, 0.013258002154918437, 0.011340170192641224, 0.9150478700139837];stop
('abstract_algebra', 29);718;[0.9905789633159504, 0.0022356669262391096, 0.004446154585717587, 0.0027391963776551725];stop
('abstract_algebra', 30);938;[0.35093514996230996, 0.5785942463791997, 0.014944619408133518, 0.055525997208198626];stop
('abstract_algebra', 31);934;[0.28468947921388305, 0.6415576449620971, 0.03975155817341608, 0.03400130953682062];stop
('abstract_algebra', 32);267;[0.9537944635149039, 0.019186334186980895, 0.014037021953388483, 0.012982123094681152];stop
('abstract_algebra', 33);426;[0.4464211688175627, 0.062334369456077295, 0.3818442607592203, 0.10940022540257224];stop
('abstract_algebra', 34);2395;[0.958853556918511, 0.025552580151388782, 0.00804047608467765, 0.007553328265185535];stop
('abstract_algebra', 35);563;[0.08445542562944527, 0.9079814284028005, 0.0024912544725288737, 0.0050719425381332145];stop
('abstract_algebra', 36);589;[0.038184793563729336, 0.006431368603066352, 0.0008840977567603542, 0.9544997850710327];stop
('abstract_algebra', 37);742;[0.37048203637329596, 0.27531887152293727, 0.07888016795420659, 0.27531887152293727];stop
('abstract_algebra', 38);1081;[0.54674848970619, 0.047774347756770606, 0.35300733566459963, 0.052469856229159666];stop
('abstract_algebra', 39);555;[0.03165081166820876, 0.007062250676355212, 0.006952760628110742, 0.9543341885745336];stop
('abstract_algebra', 40);255;[0.4385321184538504, 0.03226742009259093, 0.42503990359078864, 0.10416050797482501];stop
('abstract_algebra', 41);1687;[0.9972845345590834, 0.0021815515711049406, 0.00027735315792146034, 0.00025650973894542924];stop
('abstract_algebra', 42);810;[0.07747693339020016, 0.8593964178094287, 0.009038947660423109, 0.054087616441413626];stop
('abstract_algebra', 43);542;[0.10976871990032375, 0.02094972680560743, 0.8368339016867394, 0.03244757162463246];stop
('abstract_algebra', 44);576;[0.4156850709839872, 0.032558968903584146, 0.4859850842846593, 0.0657709251101807];stop
('abstract_algebra', 45);461;[0.3606831226643807, 0.05618360090742257, 0.38394518550142387, 0.19918813822385345];stop
('abstract_algebra', 46);590;[0.2547598289715632, 0.5923343489991699, 0.01654272212206003, 0.13636310998457254];stop
('abstract_algebra', 47);924;[0.09136650016925496, 0.894378353447056, 0.005486986132620485, 0.008768178873869758];stop
('abstract_algebra', 48);486;[0.507663690549191, 0.10153912598246977, 0.28925805161444323, 0.10153912598246977];stop
('abstract_algebra', 49);1716;[0.09921632619430494, 0.8843054302235049, 0.010135583397508483, 0.006342686018174583];stop
('astronomy', 15);338;[0.22940747991961055, 0.033049280982462265, 0.7290554851403166, 0.00848775934926315];stop
('astronomy', 16);847;[0.33208433267533105, 0.08396405843742331, 0.45390546557002354, 0.13004607770416815];stop
('astronomy', 17);766;[0.9248275971155003, 0.03421733513005472, 0.0283671671693525, 0.012587854126020492];stop
('astronomy', 18);416;[0.3502673925920907, 0.0689717390447137, 0.021035191936673456, 0.5597256662659826];stop
('astronomy', 19);203;[0.4167601349427132, 0.03937518911041909, 0.4167601349427132, 0.12710466741925167];stop
('astronomy', 20);371;[0.307245679173514, 0.10785337711792556, 0.045667993224316035, 0.5392329600644055];stop
('astronomy', 21);424;[0.09372780831396695, 0.07074946152301678, 0.013087331314952298, 0.8224353647902107];stop
('astronomy', 22);770;[0.22745998205261175, 0.08633408150388924, 0.02802857257735451, 0.6581773011440307];stop
('astronomy', 23);546;[0.3290783619272956, 0.43595799830874266, 0.07458362833164295, 0.16037998479204083];stop
('astronomy', 24);152;[0.08925399798731572, 0.025571698562315708, 0.7020370115386864, 0.18313729103946824];stop
('astronomy', 25);137;[0.44982837396433767, 0.01563467366837357, 0.008634286840858563, 0.5259026496121412];stop
('astronomy', 26);463;[0.3322252942172366, 0.12221884101003294, 0.30249457269732427, 0.24306121758072669];stop
('astronomy', 27);428;[0.025523670705009938, 0.010152614764082446, 0.006555020761819892, 0.9577687485816458];stop
('astronomy', 28);1369;[0.18684401128845515, 0.6942097196215667, 0.054374707197084385, 0.06457156247567794];stop
('astronomy', 29);579;[0.2339161862786072, 0.22671934182318548, 0.42356749383286046, 0.11579690907998606];stop
('astronomy', 30);665;[0.30615001332748704, 0.3931043984317842, 0.16907209497754605, 0.1316734799640358];stop
('astronomy', 31);862;[0.21264879027642955, 0.1438853688463794, 0.5430177091197248, 0.10044817600742403];stop
('astronomy', 32);796;[0.4138910279266824, 0.08951021220395751, 0.05601405949355034, 0.44058470582377046];stop
('astronomy', 33);439;[0.18279644516599677, 0.015972571562431086, 0.007199402049097927, 0.7940315274319523];stop
('astronomy', 34);306;[0.16999143476372552, 0.05349017820196485, 0.6936711854429214, 0.08284720867854221];stop
('astronomy', 35);2416;[0.21591997965869755, 0.26871675635369535, 0.07232413381494683, 0.4430390584010663];stop
('astronomy', 36);303;[0.9424412150668194, 0.013869933682641385, 0.022867654685771014, 0.020821236531855195];stop
('astronomy', 37);280;[0.22472794808520197, 0.04029150570629814, 0.6108739158323533, 0.12410657474481655];stop
('astronomy', 38);436;[0.3159960829509484, 0.47436633288739694, 0.06941512739736033, 0.14022241180564113];stop
('astronomy', 39);3880;[0.13475084827348285, 0.6230815540063963, 0.1785158487377472, 0.06365179367787262];stop
('astronomy', 40);537;[0.6917190766741828, 0.02155116648745738, 0.23169687508198114, 0.05503283155133021];stop
('astronomy', 41);265;[0.30575326794607594, 0.04073768000478905, 0.045446166098851264, 0.6080629622899069];stop
('astronomy', 42);1069;[0.22620527638607563, 0.5776354091376935, 0.09578134042116059, 0.10037798292246829];stop
('astronomy', 43);1958;[0.9221591588363534, 0.04051684273326994, 0.024574707352483235, 0.012749190222412688];stop
('astronomy', 44);888;[0.6009604203341136, 0.08657654680775055, 0.20129652627067732, 0.11116648659020767];stop
('astronomy', 45);481;[0.28059835075864986, 0.08557765170847834, 0.03979730398353663, 0.5940267132175509];stop
('astronomy', 46);426;[0.1680560246264218, 0.0972633767277965, 0.048907097198820006, 0.6857735241760263];stop
('astronomy', 47);947;[0.07767185395503531, 0.1184354340548113, 0.04356996129498119, 0.7603227252168756];stop
('astronomy', 48);550;[0.32142810182977444, 0.059458220246019225, 0.5641238533698517, 0.054989864430478604];stop
('astronomy', 49);403;[0.41577033656223744, 0.35562721461154423, 0.06578442784609323, 0.16281800320307863];stop
('astronomy', 50);2383;[0.8085759144439619, 0.15921804496052472, 0.019928472649135387, 0.012277578760500197];stop
('astronomy', 51);622;[0.07655679356750057, 0.011029049180878185, 0.008456265336352397, 0.9039578815561878];stop
('astronomy', 52);460;[0.11062761569480849, 0.08350610540006209, 0.04986377303159812, 0.7560025489096012];stop
('astronomy', 53);606;[0.9183330711155276, 0.05345339829687991, 0.010859716556956892, 0.017353777645770674];stop
('astronomy', 54);1235;[0.3868779094038814, 0.09333865053426448, 0.03830610499719319, 0.48147733750364];stop
('astronomy', 55);475;[0.31289416759256805, 0.07548923102539377, 0.42767559434606184, 0.18394099202453168];stop
('astronomy', 56);226;[0.24322547526111463, 0.020279568367799025, 0.010357790012899706, 0.7261371614953126];stop
('astronomy', 57);2776;[0.0797187373920341, 0.1234707958416402, 0.0164508912847351, 0.7803595161950762];stop
('astronomy', 58);298;[0.177650274095527, 0.04089741529629199, 0.7026204429559579, 0.07883183126505665];stop
('astronomy', 59);728;[0.2924142029303536, 0.14703509508058465, 0.03926599198395002, 0.5212846784649476];stop
('astronomy', 60);437;[0.2049191289417515, 0.07538554362708683, 0.026462814669756047, 0.6932324775253573];stop
('astronomy', 61);439;[0.17476611519681043, 0.10114687967555536, 0.05414002330537618, 0.6699469937449174];stop
('astronomy', 62);324;[0.4899720840492765, 0.3263917926669641, 0.08252476893190182, 0.10111146050962283];stop
('astronomy', 63);328;[0.864573112348227, 0.06070255466827031, 0.021985008383739242, 0.052739293449411584];stop
('astronomy', 64);724;[0.6187277454595458, 0.07866240774870771, 0.2422972737240298, 0.06031256013190156];stop
('anatomy', 50);3495;[0.009496357260984752, 0.019485255287338472, 0.002363830222000391, 0.9686546088125586];stop
('anatomy', 51);503;[0.2458254002904637, 0.05659221376807438, 0.029359653732100928, 0.6682227185832385];stop
('anatomy', 52);441;[0.7916278477652603, 0.1038389853477466, 0.02109616945541047, 0.08343696875588202];stop
('anatomy', 53);438;[0.45159600469771105, 0.4377018563097568, 0.051465573296201154, 0.05923651175841414];stop
('anatomy', 54);332;[0.5425433605927964, 0.24075215686540277, 0.029206546821843617, 0.18749796829290538];stop
('anatomy', 55);180;[0.6988568443557558, 0.12927552896186123, 0.034254605061852746, 0.13761306784881952];stop
('anatomy', 56);447;[0.8886775787396194, 0.04028521410805311, 0.041564004075673636, 0.0294732922569134];stop
('anatomy', 57);299;[0.2536331202441138, 0.02890497756489664, 0.6894462813078418, 0.028015664897690935];stop
('anatomy', 58);291;[0.05330559092423964, 0.01189408503973228, 0.01900669377481808, 0.9157936961386343];stop
('anatomy', 59);1426;[0.9168572988038759, 0.03499925735034902, 0.0318671864580991, 0.016276166220530613];stop
('anatomy', 60);308;[0.20215454183224138, 0.08296404691554171, 0.031001399364580066, 0.6838799795050026];stop
('anatomy', 61);420;[0.45471268829519784, 0.04792636474475458, 0.16468602217804137, 0.3326749094371095];stop
('anatomy', 62);661;[0.3616793985530836, 0.49435715394925545, 0.030155978037693314, 0.11380747216748721];stop
('anatomy', 63);318;[0.4986838755808811, 0.06340054002336336, 0.3427400811926707, 0.09517548319109234];stop
('anatomy', 64);701;[0.2635544269357238, 0.12256419094903319, 0.5492945622506014, 0.06458678998541402];stop
('anatomy', 65);1095;[0.19221525708578285, 0.6708971888803734, 0.05421680277420149, 0.08267075192184695];stop
('anatomy', 66);410;[0.40751060209858836, 0.037316735171957945, 0.031918695059702774, 0.5232539706643123];stop
('anatomy', 67);870;[0.60791657479283, 0.10730364937832394, 0.22364000981364363, 0.06113977644671797];stop
('anatomy', 68);1082;[0.2575603489052696, 0.042045576157084014, 0.6785811587815986, 0.021812957556275308];stop
('anatomy', 69);2602;[0.11695990545443476, 0.7626743650698128, 0.020324583996408355, 0.1000411086127687];stop
('anatomy', 70);569;[0.4956059351966582, 0.4108717514210582, 0.03704121180881271, 0.056481103193862105];stop
('anatomy', 71);277;[0.8769244999473932, 0.05605991189818716, 0.037932033803158044, 0.02908349915993865];stop
('anatomy', 72);276;[0.25084680264365095, 0.06965764133996652, 0.018602200957376462, 0.6608933197135649];stop
('anatomy', 73);3860;[0.8435413585813472, 0.10394467783144806, 0.03072598807745875, 0.021787988107223794];stop
('anatomy', 74);765;[0.34531862584650047, 0.09440485897284584, 0.04189190222778404, 0.5183846241491828];stop
('anatomy', 75);699;[0.18143744690473723, 0.047330785932060984, 0.7175989801468308, 0.053632806861352016];stop
('anatomy', 76);347;[0.8741767583739023, 0.04855308184200206, 0.02558567617337781, 0.05168448658419653];stop
('anatomy', 77);276;[0.9419734519709869, 0.030756521881807785, 0.01522558239609097, 0.012044427025924018];stop
('anatomy', 78);301;[0.46753585489860344, 0.07058736061550465, 0.41259894379525835, 0.04927791949837392];stop
('anatomy', 79);488;[0.1274200086063062, 0.06209955258922801, 0.05395302627670752, 0.756527401834384];stop
('anatomy', 80);266;[0.07364566551860377, 0.8971878820969491, 0.011118832460466565, 0.018047646505084676];stop
('anatomy', 81);870;[0.6908946039530661, 0.23876677901570625, 0.018701661584523122, 0.051636943452869524];stop
('anatomy', 82);553;[0.31511463892474745, 0.07722216333905779, 0.4880591294003938, 0.1196040263056067];stop
('anatomy', 83);379;[0.4366977460131865, 0.4796186452522039, 0.01349985142544248, 0.07018370628302827];stop
('anatomy', 84);188;[0.8218647994139744, 0.059535685497401264, 0.01732587223093364, 0.10127361253590435];stop
('anatomy', 85);4177;[0.11076630675180724, 0.28285170694852835, 0.5452109350592943, 0.06117096429919425];stop
('anatomy', 86);680;[0.6085198547698161, 0.05485972547134366, 0.28744440893905854, 0.04917594009010725];stop
('anatomy', 87);1322;[0.31472683551274205, 0.10059273856031273, 0.47246096669688586, 0.11221930911168404];stop
('anatomy', 88);950;[0.27723223311216466, 0.19053874155327033, 0.3971168387816324, 0.13511218352263724];stop
('anatomy', 89);248;[0.9814123130516481, 0.012548707729074267, 0.0033250765303220876, 0.0027138483705277426];stop
('anatomy', 90);521;[0.3375002889939116, 0.06964712947437951, 0.01874527059749797, 0.5741073309690388];stop
('anatomy', 91);873;[0.9437199812960267, 0.029865518211717585, 0.017016859328725268, 0.00939760225836798];stop
('anatomy', 92);735;[0.6754664187681969, 0.2645164423376485, 0.02008108672668042, 0.03993600960328096];stop
('anatomy', 93);310;[0.33277724265728553, 0.0184829433398949, 0.007294794879260322, 0.641444962122663];stop
('anatomy', 94);872;[0.3969532417227145, 0.3969532417227145, 0.0554270884316017, 0.15066644728801545];stop
('anatomy', 95);915;[0.5274710104115229, 0.15592014214914182, 0.2736483715927631, 0.04296051623959963];stop
('anatomy', 96);1188;[0.9309481436162901, 0.052520495254032545, 0.008845894731119531, 0.007685446528512802];stop
('anatomy', 97);2228;[0.3179130068154088, 0.15493842530282176, 0.46256066794111245, 0.064587944897542];stop
('anatomy', 98);868;[0.9531801777048997, 0.02041059354560137, 0.01026309095985824, 0.016146108445671485];stop
('anatomy', 99);559;[0.3795237523129986, 0.12130306264021187, 0.43005675283559175, 0.06911640167965202];stop
('anatomy', 100);396;[0.5153117719339373, 0.09239030971093086, 0.026887112965178643, 0.3654107633611256];stop
('anatomy', 101);657;[0.31518158613868563, 0.206701130647698, 0.07969038484440416, 0.39842685743011075];stop
('anatomy', 102);330;[0.4732985365908525, 0.12346729280126133, 0.2654964010905367, 0.13773771839147425];stop
('anatomy', 103);1967;[0.16872341135203267, 0.23061756020023186, 0.08095437747798169, 0.519704663476646];stop
('anatomy', 104);2172;[0.08507724007918191, 0.8592496735271916, 0.020207615749988226, 0.035465470128081114];stop
('anatomy', 105);2383;[0.6863541375937366, 0.22989982497897885, 0.041218767334932294, 0.04252719146305575];stop
('anatomy', 106);718;[0.21071121922736236, 0.06426329103844397, 0.6908955099252639, 0.03412997624125522];stop
('anatomy', 107);625;[0.25480107441450717, 0.16196141703029054, 0.5067324137743499, 0.07650515623964821];stop
('anatomy', 108);358;[0.023657607870027218, 0.010663319297741544, 0.005797546141888068, 0.9598815098717902];stop
('anatomy', 109);443;[0.8953239567545255, 0.032106566191895586, 0.032612171040004696, 0.03995726721713716];stop
('anatomy', 110);574;[0.6343481520286228, 0.051263192473685264, 0.2562998374145703, 0.05808880725082343];stop
('anatomy', 111);1108;[0.2805305559416583, 0.12843624750642935, 0.5407367993910951, 0.05029635719277172];stop
('anatomy', 112);320;[0.02688761939054218, 0.00820026060577672, 0.017090810731743872, 0.9478212938951879];stop
('anatomy', 113);239;[0.9678187818101647, 0.012183038856452605, 0.0057548600665323505, 0.014243415457478564];stop
('anatomy', 114);485;[0.9246822189392344, 0.030191941002176648, 0.017202849428329583, 0.027922980804556744];stop
('anatomy', 115);265;[0.41388668605978207, 0.36525371846876054, 0.051000846528857, 0.16985875371453144];stop
('anatomy', 116);408;[0.19398212625706537, 0.02751251254739328, 0.011291112399253704, 0.7672141922219597];stop
('anatomy', 117);286;[0.5996484771513556, 0.2205983466737471, 0.054059949792539926, 0.12569314909873902];stop
('anatomy', 118);395;[0.45415373485669014, 0.322043221163914, 0.040308435463208, 0.18349469624022027];stop
('anatomy', 119);334;[0.08144556729567679, 0.010683330962187829, 0.004453474921791561, 0.9034175719293156];stop
('anatomy', 120);180;[0.5578077611508028, 0.05028789184552301, 0.26348971352177675, 0.12841463048493618];stop
('anatomy', 121);1313;[0.8878821967908296, 0.06042113771366498, 0.02403386808677192, 0.027662812601512904];stop
('anatomy', 122);356;[0.24060333653283364, 0.08186116241463993, 0.5507464893701947, 0.12678904862920404];stop
('anatomy', 123);621;[0.4418600175972079, 0.5006929954123568, 0.030068949764746906, 0.0273780903166178];stop
('anatomy', 124);584;[0.29406423127890996, 0.16755274835042475, 0.05355307494646026, 0.4848299241635045];stop
('anatomy', 125);2578;[0.2545216897461309, 0.5917806587111953, 0.044229242993392204, 0.1094684277361163];stop
('anatomy', 126);175;[0.34991415543285614, 0.022022460275985842, 0.5591611949264174, 0.06890218252394445];stop
('anatomy', 127);164;[0.4674069585004351, 0.028069967991599092, 0.41248519312312054, 0.09203788171453249];stop
('anatomy', 128);101;[0.951069287554704, 0.013148882377798711, 0.02380955577264618, 0.011972193645553067];stop
('anatomy', 129);2679;[0.8823928641090082, 0.0724312256706005, 0.015911028739720647, 0.029264860624624446];stop
('anatomy', 130);339;[0.9003177505434053, 0.050792457488882926, 0.022539016383099398, 0.02635077981199817];stop
('anatomy', 131);212;[0.35069873790097694, 0.03527069884995141, 0.0358261315370892, 0.5782044343213589];stop
('anatomy', 132);635;[0.9455789347789577, 0.022588083417233562, 0.01504690744642754, 0.016786038257554158];stop
('anatomy', 133);276;[0.6871800321303669, 0.04676318526810228, 0.20313001739284706, 0.06292674385012101];stop
('anatomy', 134);1173;[0.2640389309547449, 0.5767140470782428, 0.030564721105489495, 0.12868228234429305];stop
('astronomy', 0);391;[0.9143480004715859, 0.044122118991127515, 0.013042476570998822, 0.02848738110949759];stop
('astronomy', 1);322;[0.27042164908551075, 0.04484030517965826, 0.03603019742296192, 0.6487078129450721];stop
('astronomy', 2);300;[0.4262681869361198, 0.04354603417280423, 0.4537601230064618, 0.07642567006713237];stop
('astronomy', 3);538;[0.3067444513798181, 0.057635574794594274, 0.505736131803369, 0.12988377278064697];stop
('astronomy', 4);4794;[0.8575652431621119, 0.08760581401499389, 0.038874844316616905, 0.015954203961789697];stop
('astronomy', 5);1152;[0.21168495440920812, 0.09541388426904596, 0.5664982807903216, 0.12640285965075193];stop
('astronomy', 6);502;[0.467137466482049, 0.3995638491656483, 0.033839322556574555, 0.09945930002658425];stop
('astronomy', 7);487;[0.23881884391734928, 0.7356138049503447, 0.0033537531126354115, 0.022213612780853414];stop
('astronomy', 8);386;[0.16534298243346401, 0.023819917895667456, 0.022029822796715486, 0.7888072762091016];stop
('astronomy', 9);682;[0.14782294120445455, 0.08555335482544214, 0.0502942227357528, 0.7163294910670872];stop
('astronomy', 10);326;[0.12630251385382096, 0.02194808590008295, 0.0020098391511603098, 0.8497395858786517];stop
('astronomy', 11);441;[0.29210795728636907, 0.10094980879231902, 0.466787214460677, 0.1401549295915062];stop
('astronomy', 12);421;[0.8560046965332497, 0.08344192224087571, 0.03588792356050546, 0.024665385101205334];stop
('astronomy', 13);517;[0.24753612462529506, 0.09106345119689804, 0.048742752973521, 0.612657755854886];stop
('astronomy', 14);317;[0.1879937082179529, 0.7206535189516955, 0.028382801369207195, 0.06296999708034537];stop
('astronomy', 115);282;[0.4234850717367911, 0.06596625499630698, 0.030677157532746722, 0.4798714539354388];stop
