id;confidence_per_choice
('abstract_algebra', 21);[0.9890059463068371, 6.076662201934887e-06, 1.0559655538464906e-06, 0.010986862999420251]
('abstract_algebra', 22);[1.4449761119935134e-07, 3.9278523077893697e-07, 2.260322940135999e-06, 0.9999972581939645]
('abstract_algebra', 23);[2.734140234073664e-12, 1.3173825398392565e-10, 0.00020342704214340812, 0.9997965511486372]
('abstract_algebra', 24);[0.9999997615814777, 7.194133030325383e-09, 2.382369667501818e-07, 1.9555681087850496e-08]
('abstract_algebra', 25);[5.04347662567888e-07, 2.335593038799337e-09, 0.9999995231630692, 1.522997974471263e-08]
('abstract_algebra', 26);[3.5356219531090163e-05, 5.04329385529398e-07, 0.9999640000901282, 1.4449278815172466e-07]
('abstract_algebra', 27);[0.0003352377980466972, 0.9993295399498686, 1.6041506880942427e-09, 0.0003352377980466972]
('abstract_algebra', 28);[0.32079381222798264, 1.9710243641045405e-06, 8.381008861021076e-05, 0.6791204653371472]
('abstract_algebra', 29);[0.9999997615814777, 8.152020714470167e-09, 1.8553913626159784e-07, 3.850741922767617e-09]
('abstract_algebra', 30);[0.9999997615814777, 1.1253517471925912e-07, 1.1253517471925912e-07, 5.602796437537268e-09]
('abstract_algebra', 31);[9.237449661970594e-09, 0.9999998807907247, 1.103256032343554e-09, 8.764248219443636e-08]
('abstract_algebra', 32);[0.37752696380663014, 1.2172172120067216e-08, 0.6224367354908286, 3.6284733700961016e-05]
('abstract_algebra', 33);[0.010986920627961222, 1.7410028318229617e-06, 0.9890113107120635, 4.794103629625936e-11]
('abstract_algebra', 34);[1.463761762606076e-12, 7.889234541559306e-06, 3.7266105241617084e-06, 0.9999884368330701]
('abstract_algebra', 35);[1.493094676197164e-10, 1.0, 6.691586091292782e-10, 1.186112015134383e-08]
('abstract_algebra', 36);[0.9999834301824576, 6.144112741317919e-06, 3.058973611118592e-07, 1.0129929366190528e-05]
('abstract_algebra', 37);[4.123089795179042e-08, 0.004070137939983506, 1.1812850042040942e-08, 0.9959299004209012]
('abstract_algebra', 38);[1.3815447515226976e-11, 0.005220125868449866, 0.9947799187523881, 7.542978762113923e-10]
('abstract_algebra', 39);[5.3156838648339776e-08, 2.260286295030162e-06, 1.6701382233621983e-05, 0.9999810460826691]
('abstract_algebra', 40);[2.172439935079017e-10, 2.646573638909117e-09, 1.0, 1.6586783589142312e-12]
('abstract_algebra', 41);[0.9044054125556021, 0.07423812423559553, 0.021269578703400856, 8.6923927477499e-05]
('abstract_algebra', 42);[0.0001233943872980875, 2.3820720534687697e-07, 0.9998750842669973, 1.3707878213329848e-06]
('abstract_algebra', 43);[7.920757704822512e-07, 2.0427903360909856e-05, 0.047424868237997166, 0.9525539207803626]
('abstract_algebra', 44);[0.9046503171810814, 5.068573726856237e-09, 0.0953494369576698, 2.1552123906301788e-07]
('abstract_algebra', 45);[9.35448220414642e-14, 3.0579964835835846e-07, 0.9996643001652582, 0.0003353500342255387]
('abstract_algebra', 46);[6.078948626978912e-07, 1.652429558885284e-06, 0.7310568790534664, 0.2689407961307279]
('abstract_algebra', 47);[8.764248219443636e-08, 0.9999996423722521, 2.382369667501818e-07, 3.398267819495071e-09]
('abstract_algebra', 48);[7.484626212190614e-05, 2.8451231620824893e-08, 0.999925142169393, 6.348327867974729e-09]
('abstract_algebra', 49);[3.398254856156838e-09, 3.7266389560521204e-06, 0.9999963045256735, 2.5109895770606383e-08]
('abstract_algebra', 50);[6.02352788184049e-08, 3.7266247400798e-06, 3.7266247400798e-06, 0.9999924898711537]
('abstract_algebra', 51);[1.4449802461092448e-07, 0.9999997615814777, 6.82560337633487e-08, 1.9555681087850496e-08]
('abstract_algebra', 52);[0.999974847472739, 2.260273361605241e-06, 6.144060006201568e-06, 1.6701286667819692e-05]
('abstract_algebra', 53);[0.01097700249432902, 3.682372347347656e-06, 0.9881182334066132, 0.0009010472346415312]
('abstract_algebra', 54);[9.056076989672867e-11, 1.0, 1.7257827987960214e-08, 1.4166087866431961e-09]
('abstract_algebra', 55);[1.670143001672819e-05, 3.398209484862448e-09, 0.9999833109787883, 2.5109560519566853e-08]
('abstract_algebra', 56);[2.5092133632114533e-08, 1.7590943749375839e-06, 0.9992885886157025, 0.0007096693213209265]
('abstract_algebra', 57);[1.103256032343554e-09, 1.0, 1.186112015134383e-08, 4.363462252943702e-09]
('abstract_algebra', 58);[4.139535026839429e-08, 1.0676001544131578e-06, 9.610230327626659e-05, 0.9999028538701035]
('abstract_algebra', 59);[0.9999991655356624, 8.764248219443636e-08, 3.059020287707785e-07, 3.9278597995802437e-07]
('abstract_algebra', 60);[0.9999959469005546, 9.736163172423694e-10, 3.7266389560521204e-06, 3.0590115357930596e-07]
('abstract_algebra', 61);[0.9999948740268748, 4.5990290627216413e-10, 3.927844816012785e-07, 4.78509457496562e-06]
('abstract_algebra', 62);[0.999388949168132, 3.2222194502732713e-08, 0.0005527463700970872, 5.8259038787618265e-05]
('abstract_algebra', 63);[0.0001233945049762016, 8.314256345080342e-07, 9.236304495555665e-09, 0.9998757993463431]
('abstract_algebra', 64);[7.194133030325383e-09, 1.0, 5.602796437537268e-09, 7.582560427911907e-10]
('abstract_algebra', 65);[5.043467006019808e-07, 1.4449774900307763e-07, 0.9999983310727032, 1.067701973552941e-06]
('abstract_algebra', 66);[3.398235411242209e-09, 3.2241559891625255e-08, 0.9999898673126559, 1.0129987330277146e-05]
('abstract_algebra', 67);[0.5620402742041881, 0.4377174056678888, 5.19182059770074e-09, 0.00024209474219637921]
('abstract_algebra', 68);[0.9999959469005546, 1.760339596980714e-06, 1.7257762154696544e-08, 2.260320784525092e-06]
('abstract_algebra', 69);[0.9959296639002696, 2.1635989561679026e-10, 0.004070135999190959, 1.4390983705267863e-07]
('abstract_algebra', 70);[2.172439935079017e-10, 8.315279260963632e-07, 0.9999991655356624, 5.905303998944039e-10]
('abstract_algebra', 71);[2.4616969518153846e-10, 0.9999998807907247, 1.1253517471925912e-07, 6.34880011604368e-09]
('abstract_algebra', 72);[3.5354533655360286e-05, 0.9999162028949069, 3.5354533655360286e-05, 1.3006206084010893e-05]
('abstract_algebra', 73);[0.06288238090270534, 0.17093203333806403, 0.7660641799208786, 0.00012139158125147871]
('abstract_algebra', 74);[4.5988887136344887e-10, 1.9554972410161533e-08, 3.535625324942473e-05, 0.9999645960934689]
('abstract_algebra', 75);[2.0699639202655585e-08, 3.072095916569285e-06, 0.49999844932931325, 0.49999844932931325]
('abstract_algebra', 76);[4.5397721682086886e-05, 1.4449099677503666e-07, 0.9999514841747886, 2.9021792507931894e-06]
('abstract_algebra', 77);[0.9999998807907247, 8.764248219443636e-08, 2.061153622438558e-09, 1.186112015134383e-08]
('abstract_algebra', 78);[1.955556918966588e-08, 6.825564320030807e-08, 4.78509457496562e-06, 0.999995112442896]
('abstract_algebra', 79);[5.827865482186644e-05, 1.300372558363812e-05, 0.9997252980727391, 0.0002034124924278511]
('abstract_algebra', 80);[1.6660472789324735e-08, 1.9256906637196296e-06, 0.8519511988504157, 0.14804692606978426]
('abstract_algebra', 81);[0.9999982118638471, 7.19411930861867e-09, 1.7603429545652396e-06, 6.825590357542018e-08]
('abstract_algebra', 82);[0.9999995231630692, 4.139937718785167e-08, 3.927863545481039e-07, 2.510999155743982e-08]
('abstract_algebra', 83);[1.9541773321623133e-08, 6.471352727758606e-07, 0.9992896599222936, 0.0007096699981146541]
('abstract_algebra', 84);[0.9987535535282166, 2.2575116163334326e-06, 7.475851747687963e-05, 0.0011694199690984758]
('abstract_algebra', 85);[8.350774721640567e-06, 6.854733315343548e-07, 0.4999954095110979, 0.4999954095110979]
('abstract_algebra', 86);[1.8456409219878667e-07, 3.517169034177732e-05, 0.005219941674600754, 0.9947446471547041]
('abstract_algebra', 87);[0.9999996423722521, 3.059023205018258e-07, 4.139937718785167e-08, 9.237449661970594e-09]
('abstract_algebra', 88);[5.828993842188903e-05, 1.0129272463055273e-05, 0.9999185866873171, 1.3006243295118212e-05]
('abstract_algebra', 89);[1.6701382233621983e-05, 4.363379027299781e-09, 0.9999810460826691, 2.260286295030162e-06]
('abstract_algebra', 90);[0.999998927117538, 4.363453930307876e-09, 1.0677029917933763e-06, 1.18610975280741e-08]
('abstract_algebra', 91);[1.1253517471925912e-07, 0.9999998807907247, 5.602796437537268e-09, 4.363462252943702e-09]
('abstract_algebra', 92);[3.059014453095186e-07, 3.059014453095186e-07, 0.9999970197767496, 2.260322940135999e-06]
('abstract_algebra', 93);[0.9999977350285647, 2.2603250957489616e-06, 4.139929822488149e-08, 4.363453930307876e-09]
('abstract_algebra', 94);[0.9999991655356624, 6.82560337633487e-08, 3.059020287707785e-07, 5.043471815847051e-07]
('abstract_algebra', 95);[4.91250142737963e-08, 7.290798559333277e-06, 0.0758576289085169, 0.9241350853952633]
('abstract_algebra', 96);[3.581747930283181e-10, 1.0, 3.398267819495071e-09, 2.289734845645553e-11]
('abstract_algebra', 97);[1.2501504819116561e-09, 1.0677029917933763e-06, 0.999998927117538, 1.0060373604175028e-12]
('abstract_algebra', 98);[0.9398460333969436, 7.034918388132743e-05, 1.2884902480875523e-06, 0.060082351255158296]
('abstract_algebra', 99);[4.058652126475693e-10, 1.522997974471263e-08, 1.0, 7.194133030325383e-09]
('anatomy', 0);[0.9999992847447459, 2.215948977336598e-08, 5.602796437537268e-09, 6.47594599989589e-07]
('anatomy', 1);[0.0011695103074966034, 0.9988304957495425, 4.358355140757578e-09, 5.309563518088013e-08]
('anatomy', 2);[0.9999936819476216, 6.144171336422507e-06, 1.7257729238158885e-08, 1.8553789765836951e-07]
('anatomy', 3);[6.825590357542018e-08, 6.023562348842112e-08, 0.9999988079084972, 1.0677029917933763e-06]
('anatomy', 4);[7.582560427911907e-10, 0.9999997615814777, 4.944450501938644e-09, 1.522997974471263e-08]
('anatomy', 5);[0.9999991655356624, 4.139937718785167e-08, 4.363462252943702e-09, 8.315279260963632e-07]
('anatomy', 6);[0.9999994039539004, 5.715002286213223e-07, 1.6052280551856116e-09, 1.7257827987960214e-08]
('anatomy', 7);[2.3823673954981372e-07, 0.9999992847447459, 1.0467401794744658e-08, 3.9278597995802437e-07]
('anatomy', 8);[2.260292761770375e-06, 0.9999836685934766, 1.3007086775440182e-05, 1.0676867000629394e-06]
('anatomy', 9);[4.5990553786523166e-10, 7.734421907141565e-08, 1.2751905914873347e-07, 0.9999997615814777]
('anatomy', 10);[5.043471815847051e-07, 7.33820819192633e-07, 8.76423150298272e-08, 0.9999986886995842]
('anatomy', 11);[1.7798119158473487e-11, 0.9980732443617326, 2.6414750903931425e-09, 0.0019267342527389902]
('anatomy', 12);[0.010986941583869245, 0.9890130589396958, 1.7636555280875247e-11, 2.907776383345769e-11]
('anatomy', 13);[7.734421907141565e-08, 0.9999996423722521, 1.8553913626159784e-07, 6.34880011604368e-09]
('anatomy', 14);[0.0004302490561806724, 6.137173176487273e-06, 0.9988542823330827, 0.000709360770623729]
('anatomy', 15);[1.1253517471925912e-07, 1.522997974471263e-08, 0.9999998807907247, 2.646573638909117e-09]
('anatomy', 16);[5.602796437537268e-09, 1.0, 8.152020714470167e-09, 4.139937718785167e-08]
('anatomy', 17);[2.510999155743982e-08, 5.715002286213223e-07, 1.186112015134383e-08, 0.9999990463265931]
('anatomy', 18);[2.9989551047989332e-09, 1.0677029917933763e-06, 1.18610975280741e-08, 0.9999986886995842]
('anatomy', 19);[5.602796437537268e-09, 4.363462252943702e-09, 1.0, 4.944450501938644e-09]
('anatomy', 20);[3.398267819495071e-09, 7.734421907141565e-08, 0.9999998807907247, 1.0467401794744658e-08]
('anatomy', 21);[0.9999870063564401, 1.3007123989067183e-05, 7.194036978928e-09, 6.91430779035535e-13]
('anatomy', 22);[0.2689410526127801, 1.2869146617270703e-06, 0.7310575762439682, 1.8356851755795583e-08]
('anatomy', 23);[6.023573837886479e-08, 8.152020714470167e-09, 0.9999998807907247, 2.215948977336598e-08]
('anatomy', 24);[5.043467006019808e-07, 1.067701973552941e-06, 7.734407154916583e-08, 0.9999983310727032]
('anatomy', 25);[0.9999998807907247, 3.6534822137210456e-08, 1.9555681087850496e-08, 2.510999155743982e-08]
('anatomy', 26);[9.736200313009565e-10, 3.1608814543136926e-10, 1.0, 2.646573638909117e-09]
('anatomy', 27);[0.9998398083816806, 1.760064296841568e-06, 3.5811741183222014e-10, 0.00015843593890614804]
('anatomy', 28);[9.736200313009565e-10, 1.7257827987960214e-08, 1.0, 1.6052280551856116e-09]
('anatomy', 29);[0.10650673949022992, 0.10650673949022992, 2.2840810614038684e-06, 0.7869842143726059]
('anatomy', 30);[2.9989608248573072e-09, 1.3440409951135022e-08, 0.9999998807907247, 1.3440409951135022e-08]
('anatomy', 31);[3.7266389560521204e-06, 0.9999963045256735, 5.109069538472553e-12, 1.463772930264664e-12]
('anatomy', 32);[1.9555681087850496e-08, 0.9999994039539004, 1.9555681087850496e-08, 4.139937718785167e-08]
('anatomy', 33);[9.237432042950414e-09, 1.1253496007565217e-07, 1.0467381829779195e-08, 0.9999983310727032]
('anatomy', 34);[0.9999784235841962, 2.1444937927240387e-05, 6.825460170979211e-08, 1.125328136620996e-07]
('anatomy', 35);[0.9399131152684121, 2.239220470877366e-07, 6.41547406133899e-08, 0.06008663450772272]
('anatomy', 36);[1.9555681087850496e-08, 6.023573837886479e-08, 6.34880011604368e-09, 0.9999995231630692]
('anatomy', 37);[2.335593038799337e-09, 1.186112015134383e-08, 1.0, 1.522997974471263e-08]
('anatomy', 38);[0.029312225847906822, 1.801004972189458e-07, 5.732204039903034e-10, 0.9706875453951163]
('anatomy', 39);[9.736200313009565e-10, 1.9555681087850496e-08, 0.9999998807907247, 4.363462252943702e-09]
('anatomy', 40);[2.061153622438558e-09, 2.061153622438558e-09, 1.0, 5.602796437537268e-09]
('anatomy', 41);[2.7894521314501314e-10, 6.144177195963701e-06, 4.5990290627216413e-10, 0.9999938011552557]
('anatomy', 42);[1.2501528663867426e-09, 0.9999995231630692, 3.398267819495071e-09, 3.927863545481039e-07]
('anatomy', 43);[1.28737358818799e-10, 0.9770209406505973, 1.7198959465913164e-06, 0.022977329065455805]
('anatomy', 44);[0.999995112442896, 9.23739680501087e-09, 5.3157548373442334e-08, 4.78509457496562e-06]
('anatomy', 45);[5.043423717781038e-07, 3.0589911147560753e-07, 0.9999890328655274, 1.0129987330277146e-05]
('anatomy', 46);[1.9555681087850496e-08, 1.0, 2.335593038799337e-09, 4.944450501938644e-09]
('anatomy', 47);[1.9555681087850496e-08, 8.592166619174109e-10, 0.9999998807907247, 6.34880011604368e-09]
('anatomy', 48);[0.9999977350285647, 8.152005165739432e-09, 2.646568590975319e-09, 2.2603250957489616e-06]
('anatomy', 49);[1.4449802461092448e-07, 0.9999997615814777, 1.4449802461092448e-07, 2.9989608248573072e-09]
('anatomy', 50);[5.432441473302622e-11, 1.5875921124074585e-09, 0.9890130589396958, 0.010986941583869245]
('anatomy', 51);[2.061153622438558e-09, 2.646573638909117e-09, 3.775134544279098e-11, 1.0]
('anatomy', 52);[3.2241867372567335e-08, 1.0, 1.0467401794744658e-08, 1.522997974471263e-08]
('anatomy', 53);[9.931194312156244e-08, 0.9999997615814777, 1.3440409951135022e-08, 1.1253517471925912e-07]
('anatomy', 54);[0.9999829533624089, 3.92779611981329e-07, 2.6465282078515498e-09, 1.6701414089010932e-05]
('anatomy', 55);[2.9989608248573072e-09, 0.9999997615814777, 1.4166087866431961e-09, 2.215948977336598e-08]
('anatomy', 56);[0.9999998807907247, 5.3157852544244216e-08, 1.103256032343554e-09, 9.931194312156244e-08]
('anatomy', 57);[4.944450501938644e-09, 1.6052280551856116e-09, 0.9999998807907247, 2.646573638909117e-09]
('anatomy', 58);[3.398267819495071e-09, 2.8453348089834e-08, 8.152020714470167e-09, 0.9999997615814777]
('anatomy', 59);[0.9999785427891018, 2.1444958378736654e-05, 4.058566973458557e-10, 1.6051943765140156e-09]
('anatomy', 60);[8.152020714470167e-09, 1.8553913626159784e-07, 1.186112015134383e-08, 0.9999996423722521]
('anatomy', 61);[1.1253517471925912e-07, 7.194133030325383e-09, 0.9999998807907247, 6.34880011604368e-09]
('anatomy', 62);[1.3007123989067183e-05, 0.9999870063564401, 6.560112580616738e-12, 1.0815797149850326e-11]
('anatomy', 63);[4.363462252943702e-09, 1.6052280551856116e-09, 1.0, 9.237449661970594e-09]
('anatomy', 64);[2.2603250957489616e-06, 2.5109943663977427e-08, 0.9999977350285647, 5.905292735481273e-10]
('anatomy', 65);[0.0019267020971603188, 0.9980562633051085, 1.6669239291844395e-05, 3.9202293327859775e-07]
('anatomy', 66);[8.764248219443636e-08, 1.4449802461092448e-07, 7.194133030325383e-09, 0.9999996423722521]
('anatomy', 67);[6.34880011604368e-09, 4.363462252943702e-09, 1.0, 4.944450501938644e-09]
('anatomy', 68);[8.864418123546495e-05, 0.5594058470603065, 0.004839808306659145, 0.4356657117452893]
('anatomy', 69);[4.78509457496562e-06, 0.999995112442896, 2.510984787732669e-08, 8.764198070156538e-08]
('anatomy', 70);[0.9999785427891018, 2.1444958378736654e-05, 2.061110378168228e-09, 4.1398508603463244e-08]
('anatomy', 71);[0.9999998807907247, 2.8453348089834e-08, 3.1608814543136926e-10, 3.6534822137210456e-08]
('anatomy', 72);[8.423447688001894e-12, 1.0815920927534024e-11, 1.3709577789362383e-06, 0.9999985694905718]
('anatomy', 73);[0.994776143430997, 0.005220105955287971, 2.4978819795404684e-08, 3.7071855564899852e-06]
('anatomy', 74);[0.0001233946226544279, 6.824757206446617e-08, 1.6050290551017823e-09, 0.9998765144262002]
('anatomy', 75);[3.398267819495071e-09, 1.8553913626159784e-07, 0.9999997615814777, 5.602796437537268e-09]
('anatomy', 76);[0.9999977350285647, 2.2603250957489616e-06, 2.0206800548772015e-11, 3.775127343788253e-11]
('anatomy', 77);[1.0, 3.6534822137210456e-08, 1.103256032343554e-09, 9.237449661970594e-09]
('anatomy', 78);[8.152020714470167e-09, 1.186112015134383e-08, 0.9999998807907247, 4.363462252943702e-09]
('anatomy', 79);[5.905089996825076e-10, 3.535625324942473e-05, 1.343992288455728e-08, 0.9999645960934689]
('anatomy', 80);[1.103256032343554e-09, 0.9999994039539004, 1.2501528663867426e-09, 1.9555681087850496e-08]
('anatomy', 81);[1.0677029917933763e-06, 0.9999988079084972, 6.825590357542018e-08, 9.73618174269892e-10]
('anatomy', 82);[3.850264546383022e-09, 0.0001233946226544279, 0.999876633606226, 7.58162041807597e-10]
('anatomy', 83);[4.058652126475693e-10, 0.9999998807907247, 2.9989608248573072e-09, 1.522997974471263e-08]
('anatomy', 84);[6.223919066333849e-11, 0.9999645960934689, 1.6918366099815088e-10, 3.535625324942473e-05]
('anatomy', 85);[1.5986222254782927e-09, 4.521310010686901e-05, 0.004069953568823665, 0.9958848526018383]
('anatomy', 86);[9.2367625450847e-09, 0.999925142169393, 7.484626212190614e-05, 4.363137681908982e-09]
('anatomy', 87);[0.00522003874892739, 1.661423116483778e-05, 1.1194580901923097e-07, 0.9947632852107468]
('anatomy', 88);[0.0012378416690813664, 0.49938106038881325, 0.49938106038881325, 4.3767008736948416e-08]
('anatomy', 89);[1.0, 1.522997974471263e-08, 6.691586091292782e-10, 3.6534822137210456e-08]
('anatomy', 90);[2.7535083821771918e-05, 2.1444344842332742e-05, 1.8552993540647488e-07, 0.9999507689867486]
('anatomy', 91);[2.383667487948937e-05, 0.043097708926420404, 0.8656405981483112, 0.0912378505132002]
('anatomy', 92);[1.4449788680693535e-07, 0.999998927117538, 6.47594599989589e-07, 3.059020287707785e-07]
('anatomy', 93);[8.31068109318202e-07, 0.0005527782629881523, 1.604340399137769e-09, 0.9994463411343099]
('anatomy', 94);[2.1024338523818466e-07, 0.9999997615814777, 1.103256032343554e-09, 1.522997974471263e-08]
('anatomy', 95);[0.9999963045256735, 3.7266389560521204e-06, 2.1724316478941435e-10, 1.6052219317382184e-09]
('anatomy', 96);[1.0, 9.237449661970594e-09, 6.560200168153779e-12, 3.581747930283181e-10]
('anatomy', 97);[0.002472623024627213, 0.9975274099865513, 1.950732621649838e-08, 3.3898650028151753e-09]
('anatomy', 98);[0.00070967033651176, 0.9992903742048809, 1.0459977454730963e-08, 1.2492661554214856e-09]
('anatomy', 99);[1.1134014642117061e-08, 0.7310585348819939, 0.2689414052760013, 6.62052711121709e-11]
('anatomy', 100);[1.955564378838448e-08, 1.2098659934854867e-06, 9.237432042950414e-09, 0.9999986886995842]
('anatomy', 101);[2.644161823860874e-09, 5.59769062504007e-09, 0.0009110514045295695, 0.9990889988442552]
('anatomy', 102);[2.335593038799337e-09, 1.186112015134383e-08, 1.0, 3.6534822137210456e-08]
('anatomy', 103);[6.144171336422507e-06, 1.1253453078966649e-07, 1.955556918966588e-08, 0.9999936819476216]
('anatomy', 104);[0.9999785427891018, 2.1444958378736654e-05, 1.8189235246184256e-09, 2.3355440366213094e-09]
('anatomy', 105);[1.0677029917933763e-06, 3.9278597995802437e-07, 0.9999985694905718, 4.363453930307876e-09]
('anatomy', 106);[7.194133030325383e-09, 2.1024318473456359e-07, 0.9999994039539004, 2.215948977336598e-08]
('anatomy', 107);[7.19411930861867e-09, 3.4663241069161144e-07, 0.9999985694905718, 1.0677029917933763e-06]
('anatomy', 108);[1.7257827987960214e-08, 3.4663274126619643e-07, 7.194133030325383e-09, 0.9999995231630692]
('anatomy', 109);[0.9999991655356624, 7.33820819192633e-07, 2.9989608248573072e-09, 9.931194312156244e-08]
('anatomy', 110);[0.2687622478216544, 0.0006661950067936692, 0.7305714908839543, 3.883559538196145e-08]
('anatomy', 111);[2.1708990624676825e-10, 1.5219177393733497e-08, 0.9992902551383588, 0.00070967033651176]
('anatomy', 112);[2.335593038799337e-09, 3.6534822137210456e-08, 1.4166087866431961e-09, 0.9999997615814777]
('anatomy', 113);[0.9999995231630692, 1.8553913626159784e-07, 3.850741922767617e-09, 2.1024338523818466e-07]
('anatomy', 114);[1.0, 1.186112015134383e-08, 8.592166619174109e-10, 4.944450501938644e-09]
('anatomy', 115);[2.845329381943118e-08, 0.999998927117538, 1.5229950695859287e-08, 5.315775115378354e-08]
('anatomy', 116);[1.0129987330277146e-05, 1.855371898888086e-07, 4.1398982374506896e-08, 0.9999896288992495]
('anatomy', 117);[2.646573638909117e-09, 0.9999997615814777, 3.850741922767617e-09, 4.139937718785167e-08]
('anatomy', 118);[2.510999155743982e-08, 0.9999998807907247, 2.9989608248573072e-09, 3.6534822137210456e-08]
('anatomy', 119);[2.699570779818012e-07, 2.260322940135999e-06, 8.315263400842229e-07, 0.9999966621509202]
('anatomy', 120);[6.34880011604368e-09, 1.3440409951135022e-08, 0.9999998807907247, 2.510999155743982e-08]
('anatomy', 121);[0.999995112442896, 4.78509457496562e-06, 1.955556918966588e-08, 3.2241682883650204e-08]
('anatomy', 122);[3.850741922767617e-09, 2.9989608248573072e-09, 1.0, 1.103256032343554e-09]
('anatomy', 123);[1.4449802461092448e-07, 0.9999998807907247, 1.103256032343554e-09, 4.277787868968998e-11]
('anatomy', 124);[3.6534752452633856e-08, 5.714996835964923e-07, 1.7603429545652396e-06, 0.9999976158197796]
('anatomy', 125);[7.889257112872668e-06, 0.9999916554191085, 8.764181353791273e-08, 3.05899694932416e-07]
('anatomy', 126);[1.2501528663867426e-09, 8.592166619174109e-10, 0.9999998807907247, 1.4166087866431961e-09]
('anatomy', 127);[4.363453930307876e-09, 1.7603429545652396e-06, 0.9999982118638471, 3.224180587614433e-08]
('anatomy', 128);[0.9999998807907247, 6.82560337633487e-08, 3.581747930283181e-10, 3.398267819495071e-09]
('anatomy', 129);[5.3157852544244216e-08, 0.9999996423722521, 7.194133030325383e-09, 2.382369667501818e-07]
('anatomy', 130);[0.9999997615814777, 1.8553913626159784e-07, 5.211412487888539e-10, 3.398267819495071e-09]
('anatomy', 131);[1.7257795071296986e-08, 6.47594599989589e-07, 1.955564378838448e-08, 0.9999988079084972]
('anatomy', 132);[2.335593038799337e-09, 1.0, 1.7257827987960214e-08, 2.215948977336598e-08]
('anatomy', 133);[1.3440409951135022e-08, 2.510999155743982e-08, 1.0, 2.646573638909117e-09]
('anatomy', 134);[5.519745785980316e-08, 0.4904907986998684, 0.4904907986998684, 0.019018393301920566]
('astronomy', 0);[0.9999998807907247, 4.139937718785167e-08, 1.3176514270095466e-10, 1.2751905914873347e-07]
('astronomy', 1);[2.215948977336598e-08, 1.186112015134383e-08, 1.186112015134383e-08, 1.0]
('astronomy', 2);[2.9989608248573072e-09, 2.4616969518153846e-10, 1.0, 1.493094676197164e-10]
('astronomy', 3);[5.905292735481273e-10, 5.602785751061334e-09, 0.999998927117538, 1.0677029917933763e-06]
('astronomy', 4);[5.043471815847051e-07, 3.9278597995802437e-07, 1.1253517471925912e-07, 0.9999990463265931]
('astronomy', 5);[1.0677029917933763e-06, 1.4449788680693535e-07, 0.9999988079084972, 2.5109943663977427e-08]
('astronomy', 6);[6.023573837886479e-08, 0.9999994039539004, 1.103256032343554e-09, 4.4508482557577276e-07]
('astronomy', 7);[1.5229950695859287e-08, 0.999998927117538, 1.7257795071296986e-08, 9.422445831379603e-07]
('astronomy', 8);[6.825590357542018e-08, 5.043467006019808e-07, 9.73618174269892e-10, 0.999997854237364]
('astronomy', 9);[1.994729895832688e-06, 9.931175369924415e-08, 9.73618174269892e-10, 0.999997854237364]
